aX,aY,aZ,gX,gY,gZ
-0.299,-0.916,-0.331,-7.874,10.681,8.545
-0.291,-0.919,-0.321,-5.31,10.315,7.568
-0.282,-0.924,-0.315,-3.906,9.399,6.042
-0.285,-0.93,-0.321,-0.732,7.812,3.601
-0.303,-0.93,-0.327,2.197,6.836,0.488
-0.321,-0.925,-0.329,2.38,6.409,-1.343
-0.143,-0.127,1.435,38.94,-9.888,12.634
-0.132,-0.133,1.413,47.607,-16.785,11.78
-0.131,-0.15,1.382,58.228,-23.376,10.193
-0.125,-0.157,1.348,64.026,-28.076,8.24
-0.129,-0.135,1.295,70.862,-32.654,5.859
-0.156,-0.125,1.27,76.965,-35.522,6.042
-0.175,-0.12,1.242,77.759,-37.964,8.667
-0.18,-0.12,1.214,80.994,-40.405,11.475
-0.179,-0.128,1.191,87.891,-40.405,13.977
-0.155,-0.155,1.162,92.468,-39.185,14.954
-0.142,-0.163,1.134,98.511,-39.063,13.672
-0.153,-0.158,1.092,102.661,-40.588,12.756
-0.163,-0.166,1.044,105.408,-41.26,12.146
-0.155,-0.17,0.998,109.985,-40.222,11.719
-0.166,-0.194,0.982,114.197,-37.109,12.878
-0.189,-0.227,0.96,114.624,-32.166,13.977
-0.196,-0.261,0.935,118.103,-27.283,13.611
-0.198,-0.267,0.915,118.103,-22.827,14.404
-0.194,-0.284,0.912,115.417,-17.517,15.93
-0.193,-0.307,0.91,118.408,-13.55,15.869
-0.15,-0.3,0.92,118.347,-11.108,16.968
-0.152,-0.32,0.933,121.826,-10.376,18.066
-0.152,-0.351,0.928,125.854,-10.498,16.846
-0.148,-0.379,0.915,129.944,-10.986,13.733
-0.151,-0.394,0.902,134.094,-13.184,10.01
-0.167,-0.41,0.873,133.972,-16.174,7.019
-0.167,-0.418,0.875,138.428,-18.127,4.517
-0.167,-0.407,0.9,137.512,-17.883,3.662
-0.163,-0.438,0.916,139.526,-15.137,3.662
-0.147,-0.46,0.912,147.644,-12.573,2.502
-0.145,-0.468,0.875,151.672,-13.55,1.404
-0.163,-0.503,0.817,159.302,-17.212,1.709
-0.156,-0.519,0.759,159.973,-20.935,0.732
-0.143,-0.529,0.723,160.339,-24.78,-1.038
-0.154,-0.544,0.71,157.837,-29.907,-1.831
-0.133,-0.552,0.692,159.363,-33.02,-2.747
-0.124,-0.566,0.654,161.987,-34.79,-4.089
-0.164,-0.591,0.605,167.542,-35.95,-6.592
-0.164,-0.608,0.542,169.922,-34.485,-10.071
-0.188,-0.627,0.486,171.082,-30.212,-12.329
-0.211,-0.629,0.438,169.006,-25.757,-12.695
-0.216,-0.63,0.396,168.213,-19.409,-11.475
-0.198,-0.656,0.347,169.556,-13.977,-11.169
-0.205,-0.678,0.311,167.542,-12.268,-12.695
-0.19,-0.692,0.293,160.461,-11.719,-13.123
-0.178,-0.706,0.29,157.837,-11.963,-12.512
-0.199,-0.732,0.251,156.86,-15.625,-12.939
-0.231,-0.75,0.205,153.442,-21.606,-14.832
-0.27,-0.765,0.179,146.057,-25.085,-14.465
-0.304,-0.767,0.191,137.695,-23.865,-11.78
-0.312,-0.775,0.216,131.409,-17.822,-8.179
-0.285,-0.794,0.212,132.446,-8.972,-5.615
-0.264,-0.812,0.175,135.376,-2.563,-6.042
-0.253,-0.823,0.129,135.681,0.183,-7.874
-0.242,-0.839,0.1,133.423,-0.183,-10.254
-0.247,-0.839,0.092,128.357,-5.31,-12.268
-0.261,-0.838,0.085,123.779,-13.245,-13.489
-0.274,-0.842,0.052,121.155,-21.423,-14.587
-0.297,-0.854,-0.005,117.981,-29.968,-15.869
-0.327,-0.862,-0.05,111.389,-36.987,-16.541
-0.35,-0.866,-0.064,102.112,-39.734,-15.381
-0.354,-0.868,-0.057,93.933,-38.94,-12.39
-0.342,-0.87,-0.049,88.501,-36.255,-9.583
-0.334,-0.876,-0.048,86.67,-32.959,-8.179
-0.337,-0.881,-0.064,86.243,-30.212,-8.179
-0.334,-0.889,-0.077,85.938,-27.1,-8.545
-0.337,-0.888,-0.078,85.754,-24.475,-8.972
-0.33,-0.893,-0.08,84.595,-22.583,-8.118
-0.329,-0.896,-0.099,85.327,-22.522,-8.057
-0.333,-0.902,-0.125,84.412,-23.621,-7.996
-0.323,-0.916,-0.162,80.078,-24.841,-6.958
-0.325,-0.919,-0.185,75.867,-26.062,-6.348
-0.337,-0.919,-0.188,68.604,-26.489,-5.92
-0.343,-0.92,-0.178,62.744,-25.452,-5.005
-0.347,-0.916,-0.158,58.35,-24.719,-3.784
-0.351,-0.919,-0.144,55.115,-23.743,-2.991
-0.334,-0.92,-0.144,55.237,-22.156,-2.502
-0.329,-0.927,-0.148,56.58,-20.508,-2.869
-0.333,-0.927,-0.154,57.373,-18.982,-3.967
-0.335,-0.934,-0.162,58.35,-16.785,-4.822
-0.347,-0.932,-0.169,58.594,-14.404,-5.005
-0.359,-0.93,-0.175,57.617,-11.719,-4.333
-0.355,-0.931,-0.183,56.335,-8.179,-3.113
-0.34,-0.942,-0.196,55.176,-6.165,-2.014
-0.381,-0.922,-0.213,52.185,-5.249,-1.648
-0.292,-0.955,-0.186,47.119,-5.31,1.343
-0.326,-0.929,-0.19,43.823,-11.353,-1.648
-0.351,-0.918,-0.174,43.091,-12.39,0.427
-0.316,-0.925,-0.21,43.762,-14.954,2.808
-0.33,-0.938,-0.242,49.561,-14.099,-1.465
-0.34,-0.929,-0.291,50.293,-13.855,-3.967
-0.365,-0.925,-0.316,48.828,-13.611,-5.737
-0.36,-0.917,-0.327,46.631,-12.878,-6.47
-0.357,-0.904,-0.338,41.138,-13.855,-5.066
-0.365,-0.911,-0.365,38.574,-13.611,-4.517
-0.365,-0.92,-0.371,35.4,-12.573,-3.723
-0.351,-0.916,-0.364,28.992,-12.451,-2.502
-0.345,-0.913,-0.351,24.963,-12.817,-1.709
-0.352,-0.915,-0.336,22.339,-12.268,-0.61
-0.352,-0.922,-0.331,20.508,-11.047,-0.122
-0.358,-0.921,-0.331,20.081,-9.338,-0.366
-0.357,-0.918,-0.329,20.02,-7.507,0.305
-0.355,-0.918,-0.335,19.592,-5.737,0.793
-0.348,-0.922,-0.34,17.761,-4.211,1.221
-0.342,-0.925,-0.339,16.663,-3.052,1.343
-0.339,-0.927,-0.334,15.015,-1.892,1.526
-0.333,-0.928,-0.323,12.207,-0.549,2.014
-0.325,-0.931,-0.314,11.475,0.977,2.38
-0.317,-0.932,-0.317,10.559,1.709,2.319
-0.311,-0.945,-0.309,8.24,2.441,2.258
-0.305,-0.943,-0.282,6.287,3.174,1.465
-0.322,-0.942,-0.263,4.456,2.258,0.488
-0.332,-0.944,-0.249,2.991,0.854,1.526
-0.329,-0.943,-0.253,2.991,0.183,1.587
-0.342,-0.937,-0.265,4.761,1.282,0.793
-0.331,-0.943,-0.258,3.235,3.418,1.099
-0.328,-0.943,-0.267,4.822,4.15,0
-0.339,-0.946,-0.26,4.395,5.92,-0.305
-0.33,-0.946,-0.256,2.869,7.263,-0.793
-0.3,-0.68,0.736,-48.645,27.527,-0.183
-0.276,-0.687,0.759,-44.983,30.64,-0.305
-0.261,-0.692,0.771,-42.48,30.396,-1.77
-0.268,-0.687,0.775,-37.415,28.259,-4.15
-0.283,-0.675,0.783,-35.889,25.269,-5.981
-0.299,-0.669,0.79,-34.851,21.851,-6.897
-0.311,-0.664,0.795,-36.133,18.433,-6.653
-0.313,-0.662,0.809,-37.781,16.113,-5.737
-0.315,-0.658,0.818,-35.095,15.503,-5.066
-0.309,-0.655,0.823,-33.813,15.93,-4.089
-0.297,-0.653,0.827,-33.386,16.663,-3.113
-0.283,-0.646,0.834,-30.64,17.395,-2.686
-0.278,-0.641,0.829,-24.78,18.372,-2.869
-0.279,-0.647,0.828,-21.912,18.677,-3.967
-0.286,-0.64,0.829,-22.4,18.616,-5.249
-0.284,-0.633,0.847,-19.409,19.104,-6.042
-0.286,-0.629,0.841,-20.02,16.235,-6.409
-0.29,-0.629,0.845,-20.02,12.329,-6.287
-0.293,-0.628,0.834,-17.7,8.85,-6.592
-0.293,-0.625,0.838,-17.822,6.287,-6.653
-0.291,-0.617,0.824,-17.883,3.418,-6.348
-0.296,-0.616,0.807,-13.855,2.563,-6.47
-0.303,-0.609,0.788,-11.292,2.625,-6.592
-0.308,-0.6,0.776,-10.01,4.333,-6.47
-0.317,-0.598,0.757,-9.094,7.263,-6.409
-0.322,-0.596,0.739,-8.301,10.437,-6.409
-0.323,-0.587,0.732,-6.775,12.817,-5.981
-0.319,-0.583,0.738,-9.155,14.221,-4.944
-0.309,-0.581,0.751,-9.949,14.587,-3.967
-0.302,-0.579,0.758,-10.376,13.611,-3.052
-0.294,-0.581,0.765,-10.925,11.78,-2.808
-0.287,-0.575,0.773,-11.475,9.521,-3.052
-0.293,-0.57,0.773,-11.414,6.531,-3.479
-0.293,-0.568,0.769,-11.597,4.944,-4.089
-0.303,-0.563,0.758,-8.728,3.662,-5.249
-0.315,-0.56,0.748,-7.629,2.625,-5.432
-0.322,-0.556,0.741,-10.437,2.319,-4.7
-0.327,-0.554,0.741,-11.292,3.296,-3.662
-0.332,-0.551,0.748,-11.597,4.883,-2.38
-0.328,-0.545,0.759,-15.381,6.958,-0.427
-0.327,-0.54,0.769,-15.381,10.132,1.282
-0.32,-0.542,0.774,-13.855,13.977,2.991
